Dec_Odds,Book,Result
1.3,B3,Conor McGregor
1.3,SK,Conor McGregor
1.3,PP,Conor McGregor
1.3,WH,Conor McGregor
1.29,EE,Conor McGregor
1.3,FB,Conor McGregor
1.3,VC,Conor McGregor
1.3,UN,Conor McGregor
1.29,FR,Conor McGregor
1.32,RK,Conor McGregor
1.3,BY,Conor McGregor
1.27,OE,Conor McGregor
1.28,SA,Conor McGregor
1.32,VT,Conor McGregor
1.27,SI,Conor McGregor
1.25,GN,Conor McGregor
1.25,PE,Conor McGregor
1.28,RZ,Conor McGregor
1.29,SX,Conor McGregor
1.31,BF,Conor McGregor
1.31,MK,Conor McGregor
3.5,B3,Dustin Poirier
3.5,SK,Dustin Poirier
3.75,PP,Dustin Poirier
3.75,WH,Dustin Poirier
3.6,EE,Dustin Poirier
3.75,FB,Dustin Poirier
3.5,VC,Dustin Poirier
3.75,UN,Dustin Poirier
3.8,FR,Dustin Poirier
3.4,WA,Dustin Poirier
3.75,BY,Dustin Poirier
3.35,OE,Dustin Poirier
3.4,SA,Dustin Poirier
3.73,VT,Dustin Poirier
3.6,SI,Dustin Poirier
3.8,GN,Dustin Poirier
3.2,PE,Dustin Poirier
3.4,RZ,Dustin Poirier
3.75,SX,Dustin Poirier
3.8,BF,Dustin Poirier
3.76,MA,Dustin Poirier
